Incident ID,Location Name,Incident Type,Verification,lat,lon,Date↕,Visual Evidence,Sources
40318-07829,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,18 Mar 2024,Unknown,@hamza20300↗
40318-32511,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,18 Mar 2024,youtube.com↗,
40319-69896,,"Attack on civilians seeking aid, Attack on evacuation route",confirmed,31.49165,34.45319,19 Mar 2024,Unknown,aljazeera.net↗ drive.google.com↗ @EyeonPalestine↗
40319-89886,UNRWA headquarters - Gaza City,"Attack on aid personnel, Attack on UNRWA aid distribution",confirmed,31.44987,34.39295,19 Mar 2024,Unknown,drive.google.com↗
40319-63631,aid warehouse,Attack on aid,confirmed,31.53172,34.49647,19 Mar 2024,Unknown,aidworkersecurity.org↗
40319-23821,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,19 Mar 2024,@hamza20300↗,@hamza20300↗ochaopt.org↗
40319-53896,Al-Awda - Nuseirat vicinity,Attack on hospitals and vicinity,confirmed,,,19 Mar 2024,Unknown,@hamza20300↗
40320-82612,,Attack on aid,confirmed,31.53552,34.46591,20 Mar 2024,Unknown,
40320-08351,,Attack on aid,confirmed,31.52955,34.44452,20 Mar 2024,Unknown,
40320-60194,,Attack on aid,confirmed,31.29707,34.24344,20 Mar 2024,Unknown,
40320-28033,Shifa Medical Complex,Prevention of hospital evacuation,confirmed,,,20 Mar 2024,@ShehabAgency↗,@AlQastalps↗@Philipp27960841↗
40320-29765,Al-Helou International Hospital,Attack on hospitals and vicinity,confirmed,,,20 Mar 2024,Unknown,@hamza20300↗aljazeera.net↗
40321-11097,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,21 Mar 2024,Unknown,ochaopt.org↗
40321-85762,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,21 Mar 2024,@hamza20300↗,
40321-68570,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,21 Mar 2024,Unknown,@hamza20300↗
40321-92069,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,21 Mar 2024,Unknown,ochaopt.org↗
40321-85960,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,21 Mar 2024,Unknown,ochaopt.org↗
